ba_code,branch_code,ba_code,name,region_id,region_code
1060,5521011,1060,กปภ.สาขาขอนแก่น(ชั้นพิเศษ),6,R6
1061,5521012,1061,กปภ.สาขาบ้านไผ่,6,R6
1062,5521013,1062,กปภ.สาขาชุมแพ,6,R6
1063,5521014,1063,กปภ.สาขาน้ำพอง,6,R6
1064,5521015,1064,กปภ.สาขาชนบท,6,R6
1065,5521016,1065,กปภ.สาขากระนวน,6,R6
1066,5521017,1066,กปภ.สาขาหนองเรือ,6,R6
1067,5521018,1067,กปภ.สาขาเมืองพล,6,R6
1068,5521019,1068,กปภ.สาขากาฬสินธุ์,6,R6
1069,5521020,1069,กปภ.สาขากุฉินารายณ์,6,R6
1070,5521021,1070,กปภ.สาขาสมเด็จ,6,R6
1071,5521022,1071,กปภ.สาขามหาสารคาม,6,R6
1072,5521023,1072,กปภ.สาขาพยัคฆภูมิพิสัย,6,R6
1073,5521024,1073,กปภ.สาขาชัยภูมิ,6,R6
1074,5521025,1074,กปภ.สาขาแก้งคร้อ,6,R6
1075,5521026,1075,กปภ.สาขาจัตุรัส,6,R6
1076,5521027,1076,กปภ.สาขาหนองบัวแดง,6,R6
1077,5521028,1077,กปภ.สาขาภูเขียว,6,R6
1133,5521029,1133,กปภ.สาขาร้อยเอ็ด,6,R6
1134,5521030,1134,กปภ.สาขาโพนทอง,6,R6
1135,5521031,1135,กปภ.สาขาสุวรรณภูมิ,6,R6
1245,5521032,1245,กปภ.สาขาบำเหน็จณรงค์,6,R6
